WordNet_ID,number_index,label,clean_label
n01518878,9,ostrich,ostrich
n01622779,24,great_grey_owl,great grey owl
n01641577,30,bullfrog,bullfrog
n01667778,36,terrapin,terrapin
n01687978,42,agama,agama
n01735189,57,garter_snake,garter snake
n01737021,58,water_snake,water snake
n01797886,82,ruffed_grouse,ruffed grouse
n01806567,85,quail,quail
n01873310,103,platypus,platypus
n01917289,109,brain_coral,brain coral
n01968897,117,chambered_nautilus,chambered nautilus
n01986214,125,hermit_crab,hermit crab
n02009229,131,little_blue_heron,little blue heron
n02077923,150,sea_lion,sea lion
n02085620,151,Chihuahua,Chihuahua
n02086646,156,Blenheim_spaniel,Blenheim spaniel
n02088238,161,basset,basset
n02094258,186,Norwich_terrier,Norwich terrier
n02097658,201,silky_terrier,silky terrier
n02108000,241,EntleBucher,EntleBucher
n02108089,242,boxer,boxer
n02109961,248,Eskimo_dog,Eskimo dog
n02111129,255,Leonberg,Leonberg
n02114855,272,coyote,coyote
n02120505,280,grey_fox,grey fox
n02132136,294,brown_bear,brown bear
n02169497,304,leaf_beetle,leaf beetle
n02174001,306,rhinoceros_beetle,rhinoceros beetle
n02226429,311,grasshopper,grasshopper
n02268853,320,damselfly,damselfly
n02280649,324,cabbage_butterfly,cabbage butterfly
n02281406,325,sulphur_butterfly,sulphur butterfly
n02361337,336,marmot,marmot
n02397096,343,warthog,warthog
n02442845,357,mink,mink
n02509815,387,lesser_panda,lesser panda
n02536864,391,coho,coho
n02777292,416,balance_beam,balance beam
n02788148,421,bannister,bannister
n02795169,427,barrel,barrel
n02799071,429,baseball,baseball
n02930766,468,cab,cab
n02963159,474,cardigan,cardigan
n02981792,484,catamaran,catamaran
n02992529,487,cellular_telephone,cellular telephone
n03014705,492,chest,chest
n03032252,498,cinema,cinema
n03045698,501,cloak,cloak
n03110669,513,cornet,cornet
n03146219,524,cuirass,cuirass
n03179701,526,desk,desk
n03240683,540,drilling_platform,drilling platform
n03249569,541,drum,drum
n03344393,554,fireboat,fireboat
n03388043,562,fountain,fountain
n03388549,564,four-poster,four poster
n03400231,567,frying_pan,frying pan
n03444034,573,go-kart,go kart
n03498962,596,hatchet,hatchet
n03544143,604,hourglass,hourglass
n03710637,638,maillot,maillot
n03761084,651,microwave,microwave
n03782006,664,monitor,monitor
n03791053,670,motor_scooter,motor scooter
n03804744,677,nail,nail
n03832673,681,notebook,notebook
n03857828,688,oscilloscope,oscilloscope
n03871628,692,packet,packet
n03944341,723,pinwheel,pinwheel
n03956157,727,planetarium,planetarium
n03958227,728,plastic_bag,plastic bag
n03967562,730,plow,plow
n03976467,732,Polaroid_camera,Polaroid camera
n03977966,734,police_van,police van
n04019541,746,puck,puck
n04040759,753,radiator,radiator
n04081281,762,restaurant,restaurant
n04118776,769,rule,rule
n04125021,771,safe,safe
n04209239,794,shower_curtain,shower curtain
n04239074,799,sliding_door,sliding door
n04252077,802,snowmobile,snowmobile
n04277352,816,spindle,spindle
n04286575,818,spotlight,spotlight
n04328186,826,stopwatch,stopwatch
n04335435,829,streetcar,streetcar
n04357314,838,sunscreen,sunscreen
n04418357,854,theater_curtain,theater curtain
n04423845,855,thimble,thimble
n04443257,860,tobacco_shop,tobacco shop
n04483307,871,trimaran,trimaran
n04493381,876,tub,tub
n04542943,891,waffle_iron,waffle iron
n04591713,907,wine_bottle,wine bottle
n07697537,934,hotdog,hotdog
n07711569,935,mashed_potato,mashed potato
n07717410,941,acorn_squash,acorn squash
n07871810,962,meat_loaf,meat loaf
n11879895,984,rapeseed,rapeseed
